Código_territorial;Municipalidad;Alcalde;Partido_político;Pacto
01101;IQUIQUE;Mauricio Soria Machiavello;IND (PPD);Contigo Chile Mejor
01107;ALTO HOSPICIO;Patricio Ferreira Rivera;DC;Contigo Chile Mejor
01401;POZO ALMONTE;Richard Godoy Aguirre;DC;Contigo Chile Mejor
01402;CAMIÑA;Evelyn Mamani Viza;IND;Independiente fuera de pacto
01403;COLCHANE;Teófilo Mamani García;IND;Independiente fuera de pacto
01404;HUARA;José Bartolo Vinaya;UDI;Chile Vamos
01405;PICA;Iván Infante Chacón;IND (RN);Chile Vamos
02101;ANTOFAGASTA;Sacha Razmilic Burgos;EVO;Chile Vamos
02102;MEJILLONES;Marcelino Carvajal Ferreira;PPD;Contigo Chile Mejor
02103;SIERRA GORDA;Adriana Rivera Vega;IND;Independiente fuera de pacto
02104;TALTAL;Mario Acuña Villalobos;IND;Independiente fuera de pacto
02201;CALAMA;Eliecer Chamorro Vargas;FRVS;Contigo Chile Mejor
02202;OLLAGÜE;Jhean Ramírez Domínguez;IND;Independiente fuera de pacto
02203;SAN PEDRO DE ATACAMA;Justo Zuleta Santander;IND (FRVS);Contigo Chile Mejor
02301;TOCOPILLA;Ljubica Kurtovic Cortés;IND;Independiente fuera de pacto
02302;MARÍA ELENA;Viviana Cuello Rivera;IND;Independiente fuera de pacto
03101;COPIAPÓ;Maglio Cicardini Neyra;IND;Independiente fuera de pacto
03102;CALDERA;Brunilda González Angel;PPD;Contigo Chile Mejor
03103;TIERRA AMARILLA;Cristóbal Zúñiga Arancibia;IND;Independiente fuera de pacto
03201;CHAÑARAL;Álex Ahumada Monroy;RN;Chile Vamos
03202;DIEGO DE ALMAGRO;Mario Araya Rojas;RN;Chile Vamos
03301;VALLENAR;Víctor Isla Lutz;IND;Independiente fuera de pacto
03302;ALTO DEL CARMEN;Cristián Olivares Iriarte;PR;Contigo Chile Mejor
03303;FREIRINA;Fernando Ruhl Pérez;IND;Independiente fuera de pacto
03304;HUASCO;Genaro Briceño Tapia;IND (PS);Contigo Chile Mejor
04101;LA SERENA;Daniela Norambuena Borgheresi;RN;Chile Vamos
04102;COQUIMBO;Ali Manouchehri Moghadam Kashan Lobos;IND (PS);Contigo Chile Mejor
04103;ANDACOLLO;Juan Carlos Alfaro Aravena;PS;Contigo Chile Mejor
04104;LA HIGUERA;Uberlinda Aquea Barraza;PS;Contigo Chile Mejor
04105;PAIGUANO;Hernán Ahumada Ahumada;RN;Chile Vamos
04106;VICUÑA;Mario Aros Carvajal;IND (UDI);Chile Vamos
04201;ILLAPEL;Denis Cortés Aguilera;DC;Contigo Chile Mejor
04202;CANELA;Waldo Contreras Cortés;IND;Independiente fuera de pacto
