Código_territorial;Municipalidad;Concejal;Partido_político
01101;IQUIQUE;Carolina del Carmen Valdés Díaz;IND - Partido de la Gente
01101;IQUIQUE;Roxana Patricia Vigueras Cherres;Partido Liberal
01101;IQUIQUE;Rodrigo Patricio Oliva Vicentelo;IND - Frente Amplio
01101;IQUIQUE;Sebastián Vergara Alfaro;Acción Humanista
01101;IQUIQUE;Washington David Maldonado Maya;IND - Partido Socialista
01101;IQUIQUE;Domingo Leonardo Campodónico Saluzzi;Partido Republicano
01101;IQUIQUE;Washington Santos Aros;Federación Regionalista Verde Social
01101;IQUIQUE;Cristián Antonio Barra Fasciani;Partido Republicano
01101;IQUIQUE;Martín Lonza Munizaga;IND - Unión Demócrata IND
01101;IQUIQUE;Néstor Gabriel Jofré Cáceres;Renovación Nacional
01107;ALTO HOSPICIO;Gabriel Esteban Orellana Aros;Partido Republicano
01107;ALTO HOSPICIO;Joshua Fernández Olivares;IND - Partido Social Cristiano
01107;ALTO HOSPICIO;Lilibeth Choque Mamani;IND - Acción Humanista
01107;ALTO HOSPICIO;Tomás Adolfo Soto Díaz;Partido por la Democracia
01107;ALTO HOSPICIO;José Luis Astorga Verdugo;Renovación Nacional
01107;ALTO HOSPICIO;Alejandra Becerra Cantillano;Democracia Cristiana
01401;POZO ALMONTE;Julia Marcela Encina Soto;Renovación Nacional
01401;POZO ALMONTE;Franco Adrián Osorio Alcayaga;Democracia Cristiana
01401;POZO ALMONTE;Francisco Cáceres Camilo;Partido Socialista
01401;POZO ALMONTE;Iván Idan Moscoso Mollo;IND - Partido Radical
01401;POZO ALMONTE;Osvaldo Chandía Aguirre;Unión Demócrata IND
01401;POZO ALMONTE;Marcelo Javier Hurtado Naccarino;Democracia Cristiana
01402;CAMIÑA;Raúl Pablo Quispe Flores;IND - Partido Radical
01402;CAMIÑA;Manuel Paul Linares Salazar;Renovación Nacional
01402;CAMIÑA;Pablo Israel Castro Castro;Renovación Nacional
01402;CAMIÑA;Morelia Sofía Mamani Ramos;IND - Partido Social Cristiano
01402;CAMIÑA;Cristián Mendoza Flores;IND - Unión Demócrata IND
01402;CAMIÑA;Yenny Yelisa Colque Choque;IND - Partido Radical
01403;COLCHANE;Jenny Jessica Choque García;IND - Federación Regionalista Verde Social
01403;COLCHANE;Javier César Mamani Challapa;IND - Demócratas
01403;COLCHANE;Pamela Castro Choque;IND - Demócratas
01403;COLCHANE;Maribel Angélica Mamani García;IND - Federación Regionalista Verde Social
01403;COLCHANE;Felino Alfredo García Choque;Renovación Nacional
01403;COLCHANE;Joel Gómez Mamani;IND - Demócratas
01404;HUARA;Narciso Relos Esteban;Renovación Nacional
01404;HUARA;Raúl Uribe Tiayna;IND - Unión Demócrata IND
01404;HUARA;Edmundo Agustín Cáceres Ibáñez;IND - Partido Republicano
01404;HUARA;Lorena Regina Baltazar Lucay;Renovación Nacional
01404;HUARA;Joaquín Flores Moscoso;Renovación Nacional
01404;HUARA;Maribel Cecilia Mamani Vilca;IND - Partido Republicano
01405;PICA;Abdon Gustavo Moscoso Castro;Partido de la Gente
01405;PICA;Patricio Vargas Briones;Unión Demócrata IND
01405;PICA;Juan Pablo Barros Retamal;Partido de la Gente
01405;PICA;Claudia Elizabeth Rojas Plaza;IND - Renovación Nacional
01405;PICA;Rodolfo Vidal González Lutino;IND - Renovación Nacional
01405;PICA;María Teresa Oxa Villagra;IND - Partido por la Democracia
02101;ANTOFAGASTA;María Tapia Zepeda;Partido de la Gente
02101;ANTOFAGASTA;Patricio Javier Aguirre Ramírez;Partido Republicano
02101;ANTOFAGASTA;Waldo Francisco Valderrama Salazar;Partido Comunista
02101;ANTOFAGASTA;Claudio Humberto Aguirre Vergara;Partido Republicano
02101;ANTOFAGASTA;Carolina Alejandra Rivera González;Evópoli
02101;ANTOFAGASTA;Ignacio Javier Pozo Piña;IND - Partido Radical
02101;ANTOFAGASTA;Dinko Tomislav Rendic Véliz;IND - Renovación Nacional
02101;ANTOFAGASTA;Karina Marcia Guzmán Arias;Federación Regionalista Verde Social
02101;ANTOFAGASTA;Norma Leiva Escalona;Partido Socialista
02101;ANTOFAGASTA;Camilo Nicolás Kong Pineda;Frente Amplio
02102;MEJILLONES;Elsie Noemí Biaggini Gómez;IND - Renovación Nacional
02102;MEJILLONES;Manuel Alberto Monardes Rojas;Partido por la Democracia
02102;MEJILLONES;José Luis Barraza Mulven;Partido Comunista
02102;MEJILLONES;María Antonieta Cabello Gutiérrez;Partido por la Democracia
02102;MEJILLONES;Liza Marlene Sapiaín Sapiaín;Partido por la Democracia
02102;MEJILLONES;Enrique Rodrigo Estrada Oñate;IND - Renovación Nacional
02103;SIERRA GORDA;René Ramos López;Partido Socialista
02103;SIERRA GORDA;Ramón Luis Vega Fernández;IND - Partido Social Cristiano
02103;SIERRA GORDA;Ana Gatica Herrera;IND - Partido Socialista
02103;SIERRA GORDA;Osvaldo Torres Espinosa;IND - Partido Socialista
02103;SIERRA GORDA;Salvadora Érika Vergara Vidal;IND - Renovación Nacional
02103;SIERRA GORDA;Jenny del Carmen Lagunas Jofré;IND - Renovación Nacional
02104;TALTAL;Segundo Llanos Miranda;Partido Radical
02104;TALTAL;Christian Ramírez Díaz;IND - Partido Socialista
02104;TALTAL;Guillermo Mauricio Tabilo Alarcón;IND - Partido Radical
02104;TALTAL;Leslie Leonela Chacc Campusano;IND - Democracia Cristiana
02104;TALTAL;Valeska Mondaca Díaz;Renovación Nacional
02104;TALTAL;Joanna Núñez Guerrero;Partido Socialista
02201;CALAMA;Malfredo Luis Mamani Mayorga;Federación Regionalista Verde Social
02201;CALAMA;Ricardo Campusano Torres;Partido Socialista
02201;CALAMA;Jorge Braulio Anza Véliz;Partido de la Gente
02201;CALAMA;Martín Celso Tapia Cornejo;Partido Republicano
02201;CALAMA;César Andrés Rojas Andrade;Demócratas
02201;CALAMA;Alberto Bladimir Muñoz Sandoval;Partido Radical
02201;CALAMA;Claudio Antonio Maldonado Pérez;Renovación Nacional
02201;CALAMA;Inti Gabriel Alavia Moya;Partido Comunista
02202;OLLAGÜE;Luis Alberto Fernández Condori;IND - Demócratas
02202;OLLAGÜE;Karen Edith Salinas Sánchez;Federación Regionalista Verde Social
02202;OLLAGÜE;Julia del Carmen Pizarro Rojas;Renovación Nacional
02202;OLLAGÜE;Luis Cutipa Cayo;IND - Partido Socialista
02202;OLLAGÜE;Javier Condori Quispe;Unión Demócrata IND
02202;OLLAGÜE;Luis Anza Achu;Unión Demócrata IND
02203;SAN PEDRO DE ATACAMA;Carolina Andrea Soto Poblete;IND - Partido Radical
02203;SAN PEDRO DE ATACAMA;Carolina Ruth Colamar Lique;IND - Partido Radical
02203;SAN PEDRO DE ATACAMA;Sergio Rodrigo Huaiquiñir Servantes;IND - Federación Regionalista Verde Social
02203;SAN PEDRO DE ATACAMA;Vilma Arcadia Catur Mamani;IND - Renovación Nacional
02203;SAN PEDRO DE ATACAMA;Williams Andrés Puca Mamani;IND - Democracia Cristiana
02203;SAN PEDRO DE ATACAMA;Iván Andrés Bautista Colque;IND - Federación Regionalista Verde Social
02301;TOCOPILLA;Diego Armando Rivera Muñiz;Federación Regionalista Verde Social
02301;TOCOPILLA;Bastián Alexis Pizarro Rivera;Partido Comunista
02301;TOCOPILLA;Ricardo Rodrigo Ortega Tabilo;Federación Regionalista Verde Social
02301;TOCOPILLA;María Eugenia Ulloa Cáceres;Renovación Nacional
02301;TOCOPILLA;María Cristina Olivares Soto;Partido por la Democracia
02301;TOCOPILLA;John Cristofer Portilla Huidobro;Partido Social Cristiano
02302;MARÍA ELENA;Carmen Gloria Miranda Caimanque;Partido Socialista
02302;MARÍA ELENA;Raúl Francisco Puebla González;Partido de la Gente
02302;MARÍA ELENA;Carmen Gloria Zamora Acuña;IND - Partido Socialista
