codigo_region;region;codigo_provincia;provincia;codigo_territorial;municipio
01;TARAPACµ;011;IQUIQUE;01101;IQUIQUE
01;TARAPACµ;011;IQUIQUE;01107;ALTO HOSPICIO
01;TARAPACµ;014;TAMARUGAL;01401;POZO ALMONTE
01;TARAPACµ;014;TAMARUGAL;01402;CAMI•A
01;TARAPACµ;014;TAMARUGAL;01403;COLCHANE
01;TARAPACµ;014;TAMARUGAL;01404;HUARA
01;TARAPACµ;014;TAMARUGAL;01405;PICA
02;ANTOFAGASTA;021;ANTOFAGASTA;02101;ANTOFAGASTA
02;ANTOFAGASTA;021;ANTOFAGASTA;02102;MEJILLONES
02;ANTOFAGASTA;021;ANTOFAGASTA;02103;SIERRA GORDA
02;ANTOFAGASTA;021;ANTOFAGASTA;02104;TALTAL
02;ANTOFAGASTA;022;EL LOA;02201;CALAMA
02;ANTOFAGASTA;022;EL LOA;02202;OLLAGöE
02;ANTOFAGASTA;022;EL LOA;02203;SAN PEDRO DE ATACAMA
02;ANTOFAGASTA;023;TOCOPILLA;02301;TOCOPILLA
02;ANTOFAGASTA;023;TOCOPILLA;02302;MAR÷A ELENA
03;ATACAMA;031;COPIAP‡;03101;COPIAP‡
03;ATACAMA;031;COPIAP‡;03102;CALDERA
03;ATACAMA;031;COPIAP‡;03103;TIERRA AMARILLA
03;ATACAMA;032;CHA•ARAL;03201;CHA•ARAL
03;ATACAMA;032;CHA•ARAL;03202;DIEGO DE ALMAGRO
03;ATACAMA;033;HUASCO;03301;VALLENAR
03;ATACAMA;033;HUASCO;03302;ALTO DEL CARMEN
03;ATACAMA;033;HUASCO;03303;FREIRINA
03;ATACAMA;033;HUASCO;03304;HUASCO
04;COQUIMBO;041;ELQUI;04101;LA SERENA
04;COQUIMBO;041;ELQUI;04102;COQUIMBO
04;COQUIMBO;041;ELQUI;04103;ANDACOLLO
04;COQUIMBO;041;ELQUI;04104;LA HIGUERA
04;COQUIMBO;041;ELQUI;04105;PAIGUANO
04;COQUIMBO;041;ELQUI;04106;VICU•A
04;COQUIMBO;042;CHOAPA;04201;ILLAPEL
04;COQUIMBO;042;CHOAPA;04202;CANELA
04;COQUIMBO;042;CHOAPA;04203;LOS VILOS
04;COQUIMBO;042;CHOAPA;04204;SALAMANCA
04;COQUIMBO;043;LIMAR÷;04301;OVALLE
04;COQUIMBO;043;LIMAR÷;04302;COMBARBALµ
04;COQUIMBO;043;LIMAR÷;04303;MONTE PATRIA
04;COQUIMBO;043;LIMAR÷;04304;PUNITAQUI
04;COQUIMBO;043;LIMAR÷;04305;R÷O HURTADO
05;VALPARA÷SO;051;VALPARA÷SO;05101;VALPARA÷SO
05;VALPARA÷SO;051;VALPARA÷SO;05102;CASABLANCA
05;VALPARA÷SO;051;VALPARA÷SO;05103;CONC‡N
05;VALPARA÷SO;051;VALPARA÷SO;05104;JUAN FERNµNDEZ
05;VALPARA÷SO;051;VALPARA÷SO;05105;PUCHUNCAV÷
05;VALPARA÷SO;051;VALPARA÷SO;05107;QUINTERO
05;VALPARA÷SO;051;VALPARA÷SO;05109;VI•A DEL MAR
05;VALPARA÷SO;052;ISLA DE PASCUA;05201;ISLA DE PASCUA
05;VALPARA÷SO;053;LOS ANDES;05301;LOS ANDES
05;VALPARA÷SO;053;LOS ANDES;05302;CALLE LARGA
05;VALPARA÷SO;053;LOS ANDES;05303;RINCONADA
05;VALPARA÷SO;053;LOS ANDES;05304;SAN ESTEBAN
05;VALPARA÷SO;054;PETORCA;05401;LA LIGUA
05;VALPARA÷SO;054;PETORCA;05402;CABILDO
05;VALPARA÷SO;054;PETORCA;05403;PAPUDO
05;VALPARA÷SO;054;PETORCA;05404;PETORCA
05;VALPARA÷SO;054;PETORCA;05405;ZAPALLAR
05;VALPARA÷SO;055;QUILLOTA;05501;QUILLOTA
05;VALPARA÷SO;055;QUILLOTA;05502;CALERA
05;VALPARA÷SO;055;QUILLOTA;05503;HIJUELAS
05;VALPARA÷SO;055;QUILLOTA;05504;LA CRUZ
05;VALPARA÷SO;055;QUILLOTA;05506;NOGALES
05;VALPARA÷SO;056;SAN ANTONIO;05601;SAN ANTONIO
05;VALPARA÷SO;056;SAN ANTONIO;05602;ALGARROBO
05;VALPARA÷SO;056;SAN ANTONIO;05603;CARTAGENA
05;VALPARA÷SO;056;SAN ANTONIO;05604;EL QUISCO
05;VALPARA÷SO;056;SAN ANTONIO;05605;EL TABO
05;VALPARA÷SO;056;SAN ANTONIO;05606;SANTO DOMINGO
05;VALPARA÷SO;057;SAN FELIPE DE ACONCAGUA;05701;SAN FELIPE
05;VALPARA÷SO;057;SAN FELIPE DE ACONCAGUA;05702;CATEMU
05;VALPARA÷SO;057;SAN FELIPE DE ACONCAGUA;05703;LLAILLAY
05;VALPARA÷SO;057;SAN FELIPE DE ACONCAGUA;05704;PANQUEHUE
05;VALPARA÷SO;057;SAN FELIPE DE ACONCAGUA;05705;PUTAENDO
05;VALPARA÷SO;057;SAN FELIPE DE ACONCAGUA;05706;SANTA MAR÷A
05;VALPARA÷SO;058;MARGA MARGA;05801;QUILPUê
05;VALPARA÷SO;058;MARGA MARGA;05802;LIMACHE
05;VALPARA÷SO;058;MARGA MARGA;05803;OLMUê
05;VALPARA÷SO;058;MARGA MARGA;05804;VILLA ALEMANA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06101;RANCAGUA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06102;CODEGUA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06103;COINCO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06104;COLTAUCO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06105;DO•IHUE
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06106;GRANEROS
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06107;LAS CABRAS
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06108;MACHAL÷
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06109;MALLOA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06110;MOSTAZAL
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06111;OLIVAR
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06112;PEUMO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06113;PICHIDEGUA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06114;QUINTA DE TILCOCO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06115;RENGO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06116;REQU÷NOA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;061;CACHAPOAL;06117;SAN VICENTE
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;062;CARDENAL CARO;06201;PICHILEMU
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;062;CARDENAL CARO;06202;LA ESTRELLA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;062;CARDENAL CARO;06203;LITUECHE
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;062;CARDENAL CARO;06204;MARCHIHUE
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;062;CARDENAL CARO;06205;NAVIDAD
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;062;CARDENAL CARO;06206;PAREDONES
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06301;SAN FERNANDO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06302;CHêPICA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06303;CHIMBARONGO
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06304;LOLOL
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06305;NANCAGUA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06306;PALMILLA
06;DEL LIBERTADOR GRAL. BERNARDO OÔHIGGINS;063;COLCHAGUA;06307;PERALILLO
